seed,scenario,label,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100
32,02_hard_infra,堤防偏重,328391750.8,235212510.9,184256812.8,328391750.8
32,03_nature_based,自然共生偏重,497848987.8,271730723.5,254767118.2,497848987.8
32,04_agri_rnd,農業R&D偏重,446364989.9,283903461.0,248476438.9,446364989.9
32,05_relocation_capacity,移転・防災偏重,491980847.0,245952574.7,240356593.0,491980847.0
32,06_balanced,バランス型,398569372.8,234120134.9,221361070.7,398569372.8
32,07_late_response,後手対応,475836185.5,280588867.3,248831195.1,475836185.5
32,08_ecosystem_sacrifice,生態系犠牲型,297301631.9,235212510.9,184256812.8,297301631.9
32,09_flood_neglect,洪水軽視型,446364989.9,283903461.0,248476438.9,446364989.9
33,01_no_policy,放置,584121898.6,282282416.2,284436086.8,584121898.6
33,02_hard_infra,堤防偏重,328241481.9,233851074.8,179295762.1,328241481.9
33,03_nature_based,自然共生偏重,496654891.1,270174580.9,254478682.6,496654891.1
33,04_agri_rnd,農業R&D偏重,446390139.8,282282416.2,249177201.6,446390139.8
33,05_relocation_capacity,移転・防災偏重,489129384.4,244247047.4,238829118.5,489129384.4
33,06_balanced,バランス型,398489808.8,232771335.9,220506961.2,398489808.8
33,07_late_response,後手対応,474321839.4,279678398.0,242377291.7,474321839.4
33,08_ecosystem_sacrifice,生態系犠牲型,298153212.9,233851074.8,179295762.1,298153212.9
33,09_flood_neglect,洪水軽視型,446390139.8,282282416.2,249177201.6,446390139.8
34,01_no_policy,放置,582263358.9,280650589.4,283127669.6,582263358.9
34,02_hard_infra,堤防偏重,329281453.8,232480904.9,178442413.1,329281453.8
34,03_nature_based,自然共生偏重,495453804.4,268608168.2,254191991.9,495453804.4
34,04_agri_rnd,農業R&D偏重,446426291.1,280650589.4,249891512.3,446426291.1
34,05_relocation_capacity,移転・防災偏重,506528933.5,242711323.6,237491131.3,506528933.5
34,06_balanced,バランス型,400184052.9,231453077.8,219673310.0,400184052.9
34,07_late_response,後手対応,474874941.5,278831787.0,241438277.0,474874941.5
34,08_ecosystem_sacrifice,生態系犠牲型,302099549.9,232480904.9,178442413.1,302099549.9
34,09_flood_neglect,洪水軽視型,446426291.1,280650589.4,249891512.3,446426291.1
35,01_no_policy,放置,580387998.5,279007970.0,281809323.7,580387998.5
35,02_hard_infra,堤防偏重,330042919.6,231101994.6,177583056.1,330042919.6
35,03_nature_based,自然共生偏重,494245717.2,267031476.1,253907078.8,494245717.2
35,04_agri_rnd,農業R&D偏重,446473570.7,279007970.0,250619467.3,446473570.7
35,05_relocation_capacity,移転・防災偏重,503650913.9,241166539.8,236121404.0,503650913.9
35,06_balanced,バランス型,401519810.6,230142577.0,218836630.7,401519810.6
35,07_late_response,後手対応,478658694.8,278055029.9,270734802.7,478658694.8
35,08_ecosystem_sacrifice,生態系犠牲型,305361024.3,231101994.6,177583056.1,305361024.3
35,09_flood_neglect,洪水軽視型,446473570.7,279007970.0,250619467.3,446473570.7
36,01_no_policy,放置,578495732.2,277354548.5,280481022.3,578495732.2
36,02_hard_infra,堤防偏重,329745804.5,229714338.4,176717677.4,329745804.5
36,03_nature_based,自然共生偏重,493030619.6,265444496.0,253623976.1,493030619.6
36,04_agri_rnd,農業R&D偏重,446532105.9,277354548.5,251361162.5,446532105.9
36,05_relocation_capacity,移転・防災偏重,501018731.8,239749754.7,234887236.8,501018731.8
